cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_permanente,permanente,0.95,0.05,True,15,pib_real,% em relação ao benchmark,100,-1.808311909172336,-1.8065330244224076,0.052487230037132064,-1.8951291778298334,-1.839522785448211,-1.770336454758817,-1.7292440190480085,0.005248723003713206,-1.818599406259614,-1.7980244120850581,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,taxa_desemprego,p.p. em relação ao benchmark,100,0.11754472335946202,0.1234730324747017,0.03550023211877771,0.06023350892680724,0.09358210730141217,0.142045084021292,0.16973120236801978,0.0035500232118777708,0.11058667786418158,0.12450276885474246,True
choque_05pct_permanente,permanente,0.95,0.05,True,16,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.41724323131536617,-0.4152754325211515,0.03010002967464239,-0.466089200686639,-0.4370149650718229,-0.395517593318438,-0.36846672675380787,0.0030100029674642393,-0.42314283713159606,-0.4113436254991363,True
choque_05pct_permanente,permanente,0.95,0.05,True,16,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.39696763323213907,0.4030143997634884,0.0369240346716711,0.32829810773592116,0.36625060049469865,0.42396704034627575,0.44902459174565595,0.00369240346716711,0.38973052243649153,0.4042047440277866,True
choque_05pct_permanente,permanente,0.95,0.05,True,16,inflacao,p.p. em relação ao benchmark,100,-0.042741483912931845,-0.03520796429903325,0.08468347776939071,-0.17682943338024107,-0.10044248955458628,0.0201207390953417,0.08905021588834103,0.008468347776939071,-0.05933944555573242,-0.026143522270131267,True
choque_05pct_permanente,permanente,0.95,0.05,True,16,pib_real,% em relação ao benchmark,100,-2.011195991181967,-2.0074875476525866,0.06728950672488702,-2.120403572188165,-2.06348707692611,-1.9697916426421327,-1.9025098807387304,0.006728950672488703,-2.0243847345000447,-1.998007247863889,True
choque_05pct_permanente,permanente,0.95,0.05,True,16,taxa_desemprego,p.p. em relação ao benchmark,100,0.09063807593972176,0.09982534958365115,0.03781041595842298,0.018165366716960354,0.0693128218249423,0.11653246035212539,0.1408567833595838,0.003781041595842298,0.08322723441187085,0.09804891746757266,True
choque_05pct_permanente,permanente,0.95,0.05,True,17,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.5145129384610684,-0.5157856758928787,0.03599089057685772,-0.5666574376873358,-0.5410519860934246,-0.4893763838339201,-0.4580000056744916,0.0035990890576857717,-0.5215671530141325,-0.5074587239080043,True
choque_05pct_permanente,permanente,0.95,0.05,True,17,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.40938932712404097,0.4221301439368629,0.05098485659887934,0.3256882008838551,0.3866863657808427,0.44222910135151106,0.4694153760615706,0.005098485659887934,0.3993962952306606,0.4193823590174213,True
choque_05pct_permanente,permanente,0.95,0.05,True,17,inflacao,p.p. em relação ao benchmark,100,-0.19232641579243112,-0.19066893929426948,0.11110723664479585,-0.381170489370588,-0.2749846942176781,-0.09356573965598187,-0.030178238094910003,0.011110723664479585,-0.21410343417481112,-0.17054939741005112,True
choque_05pct_permanente,permanente,0.95,0.05,True,17,pib_real,% em relação ao benchmark,100,-2.216072303949281,-2.224292534010847,0.07527792022985558,-2.3202206828416156,-2.2743385373467677,-2.1700554715152225,-2.077589909261938,0.007527792022985558,-2.230826776314333,-2.201317831584229,True
choque_05pct_permanente,permanente,0.95,0.05,True,17,taxa_desemprego,p.p. em relação ao benchmark,100,0.04674057830277775,0.0517700766806721,0.04263936580186184,-0.02908913663664424,0.0242785324476423,0.07641237728202746,0.09862563595793696,0.004263936580186184,0.03838326260561283,0.05509789399994267,True
choque_05pct_permanente,permanente,0.95,0.05,True,18,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.5752871813229169,-0.5827027804773715,0.0447949727934202,-0.6326400126355006,-0.609242409864915,-0.5510890170062088,-0.4818372138243923,0.00447949727934202,-0.5840669959904272,-0.5665073666554066,True
choque_05pct_permanente,permanente,0.95,0.05,True,18,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.32706549711973687,0.3390082427282156,0.07754374711406949,0.17778811634205674,0.2804453305579476,0.38644137554009605,0.4290177632950001,0.007754374711406949,0.31186692268537924,0.3422640715540945,True
choque_05pct_permanente,permanente,0.95,0.05,True,18,inflacao,p.p. em relação ao benchmark,100,-0.281306277151357,-0.2916662943542758,0.1326826343480086,-0.4716976929223415,-0.3844686888108795,-0.20745592008402639,-0.03973148118158411,0.01326826343480086,-0.30731207348356665,-0.2553004808191473,True
choque_05pct_permanente,permanente,0.95,0.05,True,18,pib_real,% em relação ao benchmark,100,-2.3017727086214244,-2.3234892096313575,0.10158499452128329,-2.4351464513801844,-2.3738182323844947,-2.2380442659392292,-2.1371319829505544,0.01015849945212833,-2.321683367547596,-2.2818620496952526,True
choque_05pct_permanente,permanente,0.95,0.05,True,18,taxa_desemprego,p.p. em relação ao benchmark,100,-0.05883480494905714,-0.047175143029050695,0.06114331657742288,-0.16960781474079914,-0.09225920356480173,-0.01409082677476275,0.017114584100344346,0.006114331657742288,-0.07081889499823203,-0.046850714899882254,True
choque_05pct_permanente,permanente,0.95,0.05,True,19,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.5249954105472051,-0.5375592885083058,0.06492127214635125,-0.6091473465976396,-0.5729474248329494,-0.48507932533776177,-0.39274464479531385,0.006492127214635125,-0.53771997988789,-0.5122708412065202,True
choque_05pct_permanente,permanente,0.95,0.05,True,19,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.1306003434519534,0.12322325132977925,0.08753549189431245,-0.008222612274969555,0.07493701236037577,0.19687366803626466,0.26106200211842756,0.008753549189431244,0.11344338704066816,0.14775729986323863,True
choque_05pct_permanente,permanente,0.95,0.05,True,19,inflacao,p.p. em relação ao benchmark,100,-0.11650265783875266,-0.14029147380880674,0.16814666226753708,-0.33273962279471875,-0.2559493296205362,-0.0062356967504673,0.19091958939243506,0.01681466622675371,-0.14945940364318994,-0.08354591203431538,True
choque_05pct_permanente,permanente,0.95,0.05,True,19,pib_real,% em relação ao benchmark,100,-2.2162787483173614,-2.2239129319393864,0.13177465165174795,-2.40390277370069,-2.3165678997328882,-2.130126930746526,-2.0030688709579825,0.013177465165174795,-2.242106580041104,-2.1904509165936186,True
choque_05pct_permanente,permanente,0.95,0.05,True,19,taxa_desemprego,p.p. em relação ao benchmark,100,-0.27122825549636587,-0.27199520770355834,0.07244637223635277,-0.38183890669262777,-0.3268797366419433,-0.22080329001767043,-0.15195783317492592,0.007244637223635277,-0.285427744454691,-0.25702876653804074,True
