cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,horizonte,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,5,impacto,taxa_desemprego,p.p. em relação ao benchmark,100,0.01468513715905473,0.01283826859827595,0.008939768936763248,0.01077884980323643,0.01202300595727865,0.014613973875091751,0.02230685510531127,0.0008939768936763248,0.012932942447449134,0.016437331870660328,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,6,+1,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.014792573928870852,-0.01547623710887475,0.005557853639421265,-0.022576575081345553,-0.018606603403092226,-0.011460345757651926,-0.005021228370384338,0.0005557853639421265,-0.01588191324219742,-0.013703234615544284,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,6,+1,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.10847802257793697,0.10995654247057185,0.013629393561845822,0.0876849820319935,0.09721981506759612,0.11794520387529843,0.12846028626129785,0.0013629393561845821,0.1058066614398152,0.11114938371605874,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,6,+1,inflacao,p.p. em relação ao benchmark,100,0.06552851787353538,0.059297361274235294,0.03495626208602519,0.022249848140981538,0.0376841440103248,0.09063081082451573,0.1337111763646003,0.003495626208602519,0.05867709050467444,0.07237994524239631,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,6,+1,pib_real,% em relação ao benchmark,100,-0.18611036286001187,-0.18194495449680434,0.04152082637365534,-0.2633189454701934,-0.2126922736125414,-0.15554698678728052,-0.12855020716133087,0.004152082637365534,-0.1942484448292483,-0.17797228089077544,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,6,+1,taxa_desemprego,p.p. em relação ao benchmark,100,0.038645242591787546,0.0401061103186634,0.010248620652816046,0.019739978936164415,0.031417596706034806,0.04737542528517423,0.052205022908771964,0.0010248620652816046,0.0366365129438356,0.04065397223973949,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,10,+5,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.10864027922776823,-0.1087994747823963,0.006882581412659361,-0.11801169946377016,-0.11367432524358075,-0.10438148592995672,-0.09740991326702794,0.0006882581412659361,-0.10998926518464947,-0.10729129327088699,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,10,+5,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.12674409928493266,0.12794084615857093,0.012256389547220586,0.10466063830807844,0.11848955694108221,0.13338397114379186,0.1458123861627905,0.0012256389547220586,0.12434184693367742,0.1291463516361879,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,10,+5,inflacao,p.p. em relação ao benchmark,100,-0.057912306736047595,-0.056700090984274046,0.01504292950591836,-0.08252676322329172,-0.06719146613373692,-0.04785530137035305,-0.034883678760578796,0.0015042929505918359,-0.06086072091920759,-0.0549638925528876,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,10,+5,pib_real,% em relação ao benchmark,100,-0.4684376623552541,-0.47371648863204774,0.027350433574597106,-0.5111865827545159,-0.4865135887302918,-0.44606485401764706,-0.4292435450823317,0.0027350433574597106,-0.4737983473358751,-0.46307697737463305,True
