rank,taxa_crescimento_populacional,taxa_crescimento_demanda_autonoma,a1,a3,velocidade_ajuste_expectativa_demanda,lambda_expectativa_precos,velocidade_ajuste_estoques_firmas,gamma_investimento_capacidade,gamma_investimento_retorno,eta_preco_padrao,eta_qualidade_padrao,parametro_markup,rho_qualidade,sigma_qualidade,rho_produtividade_idiossincratica,sigma_produtividade_idiossincratica,loss
127,0.0183,0.05300000000000006,0.07999999999999999,0.7500000000000002,0.05,0.2,0.43,0.44,0.42,-0.8500000000000076,2.4499999999999993,0.28,0.65,0.10500000000000001,0.45,0.125,63.625705561958746
128,0.006200000000000001,0.006500000000000023,0.27999999999999997,0.4000000000000001,0.44000000000000006,0.6000000000000001,0.16,0.0,0.42,-2.0000000000000036,3.849999999999999,0.36,0.36,0.1,0.12,0.04,63.69214733265417
129,0.0021000000000000003,0.036000000000000046,0.47,0.4000000000000001,0.8500000000000002,1.2000000000000002,0.91,0.36,0.51,-1.300000000000006,0.5499999999999999,0.17,0.42,0.12000000000000001,0.1,0.055,66.47519087119794
130,0.019200000000000002,0.0015000000000000187,0.6,0.4000000000000001,0.27,1.35,0.2,0.98,0.04,-1.300000000000006,1.15,0.05,0.42,0.10500000000000001,0.55,0.09000000000000001,67.78528987069522
131,0.018600000000000002,0.021500000000000036,0.33999999999999997,0.44000000000000006,0.9300000000000002,0.8,0.32,0.13,0.81,-0.5500000000000087,2.5499999999999994,0.21,0.43,0.07,0.13,0.065,67.81745229794194
132,0.0089,0.0070000000000000236,0.02,0.1,0.7700000000000002,0.5,0.89,0.14,0.36,-2.700000000000001,1.4999999999999998,0.34,0.66,0.14,0.46,0.13,75.72307097874001
133,0.0161,-0.014499999999999996,0.42999999999999994,0.8300000000000002,0.5900000000000002,0.35000000000000003,0.08,0.91,0.64,-0.9500000000000073,2.0999999999999996,0.16,0.34,0.055,0.05,0.055,77.4505881215673
134,0.0155,0.03200000000000004,0.6,0.6900000000000002,0.9800000000000002,1.0,0.29,0.49,0.05,-2.3000000000000025,2.1499999999999995,0.03,0.61,0.13,0.22,0.02,79.72815111474377
135,0.0001,0.02450000000000004,0.14999999999999997,0.6000000000000002,0.7700000000000002,0.35000000000000003,0.85,0.6,0.2,-2.5000000000000018,3.6499999999999995,0.33,0.65,0.1,0.32,0.09000000000000001,82.36622114105816
136,0.0049,-0.011499999999999993,0.36,0.060000000000000005,0.42000000000000004,1.4000000000000001,0.61,0.39,0.03,-2.9000000000000004,3.1999999999999993,0.28,0.55,0.085,0.24,0.08,82.52911765806257
137,0.012100000000000001,0.011500000000000028,0.31,0.09000000000000001,0.23000000000000004,0.45,0.54,0.54,0.51,-0.6500000000000083,2.6999999999999993,0.31,0.7000000000000001,0.115,0.49,0.13,85.03283896740489
138,0.0034000000000000002,0.03800000000000005,0.31999999999999995,0.13,0.9600000000000002,0.65,0.46,0.79,0.44,-0.9000000000000075,3.099999999999999,0.16,0.04,0.12000000000000001,0.65,0.07500000000000001,85.90916756505675
139,0.011000000000000001,0.057500000000000065,0.4799999999999999,0.17000000000000004,0.4700000000000001,0.1,0.36,0.98,0.72,-1.900000000000004,3.6499999999999995,0.47000000000000003,0.45,0.125,0.54,0.055,91.35011411549596
140,0.0189,-0.018,0.25999999999999995,0.6000000000000002,0.39000000000000007,0.8,0.9500000000000001,0.02,0.07,-1.6500000000000048,1.4999999999999998,0.17,0.46,0.08,0.28,0.1,93.62704615482025
141,0.0182,-0.014499999999999996,0.58,0.4100000000000001,0.9400000000000002,1.0,0.87,0.9500000000000001,0.0,-3.0,1.3999999999999997,0.43,0.91,0.07500000000000001,0.04,0.045,95.60992187984642
142,0.0167,-0.009499999999999991,0.45999999999999996,0.8400000000000002,0.9900000000000002,1.0,0.78,0.21,0.5,-1.6500000000000048,2.5999999999999996,0.39,0.63,0.049999999999999996,0.84,0.04,95.8026842948413
143,0.0165,0.04050000000000005,0.41999999999999993,0.36000000000000004,0.4800000000000001,0.65,0.0,0.15,0.18,-0.9500000000000073,3.349999999999999,0.19,0.48,0.15,0.12,0.015,98.80163674520682
144,0.013300000000000001,-0.0004999999999999831,0.39999999999999997,0.4800000000000001,0.9100000000000003,1.5,0.31,0.33,0.33,-1.050000000000007,2.1999999999999993,0.25,0.6,0.1,0.4,0.12000000000000001,100.05574060742612
145,0.0046,0.020500000000000036,0.09999999999999999,0.5000000000000001,0.49000000000000005,0.8,0.72,0.7000000000000001,0.64,-0.3500000000000094,3.0499999999999994,0.35000000000000003,0.77,0.125,0.55,0.135,100.11107782739181
146,0.0149,0.015500000000000031,0.47,0.19,0.5100000000000001,0.0,0.67,0.44,0.07,-2.8000000000000007,3.2999999999999994,0.29,0.58,0.09000000000000001,0.26,0.085,102.5978297612923
147,0.010100000000000001,0.05100000000000006,0.26999999999999996,0.7400000000000002,0.8500000000000002,0.45,0.9,0.65,0.25,-2.400000000000002,3.7999999999999994,0.35000000000000003,0.67,0.10500000000000001,0.34,0.095,108.51011723023653
148,0.0146,0.047000000000000056,0.20999999999999996,0.6400000000000001,0.5700000000000002,0.9,0.78,0.75,0.68,-0.3000000000000096,3.1499999999999995,0.36,0.79,0.125,0.5700000000000001,0.14,117.83341281416907
149,0.0005,0.056000000000000064,0.5599999999999999,0.11000000000000001,0.8300000000000002,1.25,0.96,0.91,0.81,-2.8000000000000007,3.5499999999999994,0.4,0.86,0.135,0.63,0.15,118.8720953911358
150,0.0097,0.04100000000000005,0.42999999999999994,0.7900000000000001,0.9800000000000002,0.35000000000000003,0.58,0.06,0.3,-1.7000000000000046,3.5499999999999994,0.24,0.47000000000000003,0.115,0.85,0.06,120.89896672850769
151,0.0048000000000000004,0.021500000000000036,0.5399999999999999,0.33,0.5200000000000001,1.2000000000000002,0.47000000000000003,0.9500000000000001,0.63,-2.0000000000000036,3.6999999999999993,0.16,0.32,0.14,0.16,0.095,127.87566128933317
152,0.0077,0.021500000000000036,0.6,0.08000000000000002,0.9400000000000002,0.15000000000000002,0.61,0.96,0.1,-2.400000000000002,3.099999999999999,0.5,0.6,0.125,0.55,0.065,133.77060749703304
153,0.0155,0.04100000000000005,0.35,0.5200000000000001,0.15000000000000002,0.1,0.14,0.07,0.9400000000000001,-2.5000000000000018,3.899999999999999,0.44,0.93,0.14500000000000002,0.7000000000000001,0.01,141.82847467979457
